ledger_id,street,legacy_house,year,legacy_paid_ngn,database_paid_ngn,difference_ngn,status,safety_note
"L-0028","OJO.K","17","2021","45000","45000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2020","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0028","OJO.K","17","2017","40000","40000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2025","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2024","180000","180000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2023","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2022","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2021","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2020","80000","80000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0029","OJO.K","18B","2019","45000","45000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2023","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2021","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2020","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2019","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2018","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2017","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2016","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0030","OJO.K","19","2015","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2025","100000","100000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2024","180000","180000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2021","18000","18000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2017","35000","35000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2016","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0031","OJO.K","20 F-1","2015","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0032","OJO.K","20 F-2","2025","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0033","OJO.K","21","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0033","OJO.K","21","2025","130000","130000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0033","OJO.K","21","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0033","OJO.K","21","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0033","OJO.K","21","2022","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0034","OJO.K","22 F-1","2025","54000","54000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0034","OJO.K","22 F-1","2024","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0034","OJO.K","22 F-1","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0034","OJO.K","22 F-1","2022","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2025","70000","70000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2024","72000","72000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2022","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2021","48000","48000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0035","OJO.K","22 F-4","2020","18000","18000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0036","OJO.K","22 F-1b","2025","45000","45000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0036","OJO.K","22 F-1b","2024","57000","57000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0036","OJO.K","22 F-1b","2023","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0036","OJO.K","22 F-1b","2022","24000","24000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0036","OJO.K","22 F-1b","2021","9000","9000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0037","OJO.K","23","2025","70000","70000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0037","OJO.K","23","2024","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0024","OJO.K","16C","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0024","OJO.K","16C","2024","110000","110000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0024","OJO.K","16C","2023","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0025","OJO.K","16D","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0025","OJO.K","16D","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0025","OJO.K","16D","2023","50000","50000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0025","OJO.K","16D","2022","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0026","OJO.K","16E","2025","127910","127910","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0026","OJO.K","16E","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0026","OJO.K","16E","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0027","OJO.K","16F","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0027","OJO.K","16F","2025","90000","90000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0027","OJO.K","16F","2024","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0027","OJO.K","16F","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0013","OJO.K","12BQ","2025","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0013","OJO.K","12BQ","2024","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0014","OJO.K","12 F-1","2025","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0015","OJO.K","12 F-2","2025","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2025","27000","27000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2024","79000","79000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2023","3000","3000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2022","6000","6000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2021","3000","3000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2019","8000","8000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0016","OJO.K","12 F-4","2018","3000","3000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2025","160000","160000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2024","270000","270000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2022","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2021","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2020","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2018","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2017","50000","50000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2016","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0017","OJO.K","14","2015","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0018","OJO.K","14A","2025","55000","55000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2025","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2024","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2023","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2022","25000","25000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2021","36000","36000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2020","54000","54000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2019","18000","18000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2018","46000","46000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0019","OJO.K","15 F-2","2017","15000","15000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0020","OJO.K","15 F-3","2025","55000","55000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0020","OJO.K","15 F-3","2024","20000","20000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0020","OJO.K","15 F-3","2023","9000","9000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0021","OJO.K","15 F-4","2025","82000","82000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0021","OJO.K","15 F-4","2024","20000","20000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0021","OJO.K","15 F-4","2023","18000","18000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0021","OJO.K","15 F-4","2022","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0005","OJO.K","9A","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0005","OJO.K","9A","2024","80000","80000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2025","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2024","40000","40000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2023","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2022","30000","30000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2021","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2020","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0006","OJO.K","9B","2019","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0007","OJO.K","9C","2025","90000","90000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0007","OJO.K","9C","2024","100000","100000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0007","OJO.K","9C","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0007","OJO.K","9C","2022","100000","100000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0007","OJO.K","9C","2021","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2026","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2025","120000","120000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2023","0","0","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2022","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2021","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2020","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
"L-0003","OJO.K","6","2019","60000","60000","0","matched","No import action proposed. Compare dated source cells and payment provenance before creating any payment record."
